EpNum	EpSteps	Reward	ener	dist
791	8	86	416.0	0.0
792	7	87	364.0	0.0
793	14	83	728.0	0.0
794	7	88	364.0	0.0
795	15	80	780.0	0.0
796	12	73	624.0	0.0
797	16	80	832.0	0.0
798	14	71	728.0	0.0
799	7	77	364.0	0.0
800	15	71	780.0	0.0
801	7	77	364.0	0.0
802	7	87	364.0	0.0
803	8	88	416.0	0.0
804	8	78	416.0	0.0
805	8	77	416.0	0.0
806	7	87	364.0	0.0
807	19	76	988.0	0.0
808	7	79	364.0	0.0
809	18	68	936.0	0.0
810	7	76	364.0	0.0
811	7	77	364.0	0.0
812	15	70	780.0	0.0
813	14	83	728.0	0.0
814	15	80	780.0	0.0
815	7	87	364.0	0.0
816	16	79	832.0	0.0
817	8	77	416.0	0.0
818	8	78	416.0	0.0
819	7	78	364.0	0.0
820	7	87	364.0	0.0
821	7	88	364.0	0.0
822	8	88	416.0	0.0
823	16	80	832.0	0.0
824	15	70	780.0	0.0
825	7	66	364.0	0.0
826	7	76	364.0	0.0
827	7	78	364.0	0.0
828	8	88	416.0	0.0
829	15	71	780.0	0.0
830	7	88	364.0	0.0
831	7	88	364.0	0.0
832	16	79	832.0	0.0
833	7	57	364.0	0.0
834	8	67	416.0	0.0
835	7	78	364.0	0.0
836	7	67	364.0	0.0
837	7	77	364.0	0.0
838	7	87	364.0	0.0
839	14	70	728.0	0.0
840	7	66	364.0	0.0
841	8	67	416.0	0.0
842	15	60	780.0	0.0
843	8	76	416.0	0.0
844	8	78	416.0	0.0
845	8	77	416.0	0.0
846	12	74	624.0	0.0
847	15	71	780.0	0.0
848	10	75	520.0	0.0
849	7	88	364.0	0.0
850	16	80	832.0	0.0
851	8	77	416.0	0.0
852	7	78	364.0	0.0
853	14	61	728.0	0.0
854	7	77	364.0	0.0
855	16	79	832.0	0.0
856	7	78	364.0	0.0
857	16	80	832.0	0.0
858	7	79	364.0	0.0
859	15	70	780.0	0.0
860	7	77	364.0	0.0
861	7	77	364.0	0.0
862	7	88	364.0	0.0
863	16	79	832.0	0.0
864	7	78	364.0	0.0
865	7	77	364.0	0.0
866	13	72	676.0	0.0
867	7	78	364.0	0.0
868	7	77	364.0	0.0
869	7	77	364.0	0.0
870	8	76	416.0	0.0
871	15	69	780.0	0.0
872	7	88	364.0	0.0
873	16	80	832.0	0.0
874	15	71	780.0	0.0
875	15	81	780.0	0.0
876	7	77	364.0	0.0
877	15	71	780.0	0.0
878	7	88	364.0	0.0
879	8	87	416.0	0.0
880	16	80	832.0	0.0
881	7	78	364.0	0.0
882	8	88	416.0	0.0
883	16	71	832.0	0.0
884	14	70	728.0	0.0
885	11	85	572.0	0.0
886	7	87	364.0	0.0
887	7	88	364.0	0.0
888	16	81	832.0	0.0
889	12	73	624.0	0.0
890	15	70	780.0	0.0
891	15	70	780.0	0.0
892	7	76	364.0	0.0
893	7	87	364.0	0.0
894	7	88	364.0	0.0
895	14	81	728.0	0.0
896	7	77	364.0	0.0
897	15	70	780.0	0.0
898	7	77	364.0	0.0
899	7	88	364.0	0.0
900	7	77	364.0	0.0
901	12	73	624.0	0.0
902	8	88	416.0	0.0
903	7	88	364.0	0.0
904	7	89	364.0	0.0
905	7	88	364.0	0.0
906	7	78	364.0	0.0
907	7	66	364.0	0.0
908	12	72	624.0	0.0
909	7	77	364.0	0.0
910	16	68	832.0	0.0
911	7	66	364.0	0.0
912	10	76	520.0	0.0
913	15	82	780.0	0.0
914	7	76	364.0	0.0
915	7	78	364.0	0.0
916	7	88	364.0	0.0
917	16	80	832.0	0.0
918	7	77	364.0	0.0
919	7	77	364.0	0.0
920	7	77	364.0	0.0
921	7	87	364.0	0.0
922	21	74	1092.0	0.0
923	7	78	364.0	0.0
924	16	79	832.0	0.0
925	7	77	364.0	0.0
926	15	70	780.0	0.0
927	7	88	364.0	0.0
928	16	69	832.0	0.0
929	16	69	832.0	0.0
930	16	70	832.0	0.0
931	15	69	780.0	0.0
932	7	76	364.0	0.0
933	7	77	364.0	0.0
934	7	88	364.0	0.0
935	16	79	832.0	0.0
936	7	77	364.0	0.0
937	7	87	364.0	0.0
938	15	81	780.0	0.0
939	7	77	364.0	0.0
940	7	88	364.0	0.0
941	7	88	364.0	0.0
942	8	88	416.0	0.0
943	7	89	364.0	0.0
944	16	79	832.0	0.0
945	7	77	364.0	0.0
946	7	77	364.0	0.0
947	7	76	364.0	0.0
948	7	86	364.0	0.0
949	16	70	832.0	0.0
950	7	77	364.0	0.0
951	7	77	364.0	0.0
952	7	77	364.0	0.0
953	7	87	364.0	0.0
954	7	87	364.0	0.0
955	15	80	780.0	0.0
956	7	77	364.0	0.0
957	7	88	364.0	0.0
958	14	81	728.0	0.0
959	7	76	364.0	0.0
960	8	77	416.0	0.0
961	7	78	364.0	0.0
962	7	88	364.0	0.0
963	15	81	780.0	0.0
964	7	77	364.0	0.0
965	7	77	364.0	0.0
966	7	77	364.0	0.0
967	11	75	572.0	0.0
968	7	78	364.0	0.0
969	16	71	832.0	0.0
970	7	66	364.0	0.0
971	8	77	416.0	0.0
972	16	69	832.0	0.0
973	12	74	624.0	0.0
974	16	80	832.0	0.0
975	7	78	364.0	0.0
976	15	81	780.0	0.0
977	7	76	364.0	0.0
978	8	77	416.0	0.0
979	16	59	832.0	0.0
980	7	68	364.0	0.0
981	7	78	364.0	0.0
982	7	88	364.0	0.0
983	8	88	416.0	0.0
984	16	80	832.0	0.0
985	8	78	416.0	0.0
986	15	81	780.0	0.0
987	7	77	364.0	0.0
988	7	77	364.0	0.0
989	7	87	364.0	0.0
990	15	80	780.0	0.0
991	7	88	364.0	0.0
